attendance,study_hours,quiz_score,assignment_score,midterm_score,sleep_hours,lms_login_count,participation,parent_education,internet_access,family_income,extracurricular,engagement_score,discipline_score,wellness_score,consistency_score,study_efficiency,attendance_band,high_engagement,target
85.45,3.68,83.55,89.92,93.24,7.72,25,81.19,High School,Yes,Low,Yes,87.705,87.372,77.2,88.90333333333332,17.852564102564102,Excellent,1,A
75.93,3.38,44.2,66.27,60.12,9.28,13,66.61,Bachelor,Yes,Medium,Yes,62.728,57.44199999999999,92.8,56.86333333333334,10.091324200913244,Good,0,C
87.72,5.21,75.36,50.67,35.41,6.41,14,42.95,Bachelor,Yes,High,Yes,62.439499999999995,60.54600000000001,64.1,53.81333333333333,12.135265700483092,Excellent,0,B
100.0,6.26,53.85,90.27,34.23,8.72,34,58.99,Master,Yes,Low,Yes,100.7475,75.702,87.2,59.449999999999996,7.417355371900827,Excellent,1,A
74.49,4.74,59.11,66.19,55.15,4.42,38,44.24,Bachelor,No,Medium,No,94.13149999999999,63.358000000000004,44.2,60.15,10.297909407665506,Good,1,B
74.49,5.32,65.86,59.48,30.39,6.61,34,85.08,High School,Yes,Low,No,98.3415,62.032,66.10000000000001,51.910000000000004,10.420886075949367,Good,1,B
100.0,3.11,62.85,82.21,73.74,7.95,39,73.45,Bachelor,Yes,High,No,111.8625,74.466,79.5,72.93333333333334,15.29197080291971,Excellent,1,A
89.51,3.73,34.83,76.76,65.96,7.64,41,75.22,Bachelor,Yes,High,Yes,111.6335,59.98800000000001,76.39999999999999,59.18333333333334,7.363636363636362,Excellent,1,A
70.96,6.17,89.87,69.97,62.99,5.78,9,56.32,Bachelor,No,Medium,Yes,52.416,77.93,57.800000000000004,74.27666666666667,12.534170153417016,Good,0,B
86.14,4.45,85.42,58.48,49.61,9.01,19,6.62,Master,Yes,Medium,No,60.304,69.256,90.1,64.50333333333333,15.673394495412843,Excellent,0,B
71.05,3.06,62.37,63.9,43.1,5.56,29,67.62,Bachelor,Yes,Medium,Yes,85.2725,63.288,55.599999999999994,56.45666666666667,15.362068965517238,Good,1,C
71.01,3.56,81.82,75.62,43.35,10.0,26,56.27,High School,Yes,Low,No,77.92099999999999,78.1,100.0,66.92999999999999,17.942982456140346,Good,0,B
81.63,5.37,57.84,62.59,65.54,8.13,33,68.1,Bachelor,Yes,Medium,No,95.09549999999999,60.690000000000005,81.30000000000001,61.99000000000001,9.080062794348509,Good,1,B
49.3,5.53,47.32,64.06,66.07,6.89,13,58.87,Bachelor,Yes,High,Yes,51.4725,57.364000000000004,68.89999999999999,59.15,7.246554364471669,Poor,0,B
52.13,1.98,65.98,55.2,55.0,6.84,14,41.93,High School,Yes,Low,Yes,49.728,59.512,68.4,58.72666666666667,22.140939597315437,Average,0,C
