student_id,attendance,study_hours,quiz_score,assignment_score,midterm_score,sleep_hours,lms_login_count,participation,parent_education,internet_access,family_income,extracurricular,final_grade,risk_level
1,85.45,3.68,83.55,89.92,93.24,7.72,25,81.19,High School,Yes,Low,Yes,A,Low
2,75.93,3.38,44.2,66.27,60.12,9.28,13,66.61,Bachelor,Yes,Medium,Yes,C,Medium
3,87.72,5.21,75.36,50.67,35.41,6.41,14,42.95,Bachelor,Yes,High,Yes,B,Low
4,100.0,6.26,53.85,90.27,34.23,8.72,34,58.99,Master,Yes,Low,Yes,A,Low
5,74.49,4.74,59.11,66.19,55.15,4.42,38,44.24,Bachelor,No,Medium,No,B,Low
6,74.49,5.32,65.86,59.48,30.39,6.61,34,85.08,High School,Yes,Low,No,B,Low
7,100.0,3.11,62.85,82.21,73.74,7.95,39,73.45,Bachelor,Yes,High,No,A,Low
8,89.51,3.73,34.83,76.76,65.96,7.64,41,75.22,Bachelor,Yes,High,Yes,A,Low
9,70.96,6.17,89.87,69.97,62.99,5.78,9,56.32,Bachelor,No,Medium,Yes,B,Low
10,86.14,4.45,85.42,58.48,49.61,9.01,19,6.62,Master,Yes,Medium,No,B,Low
11,71.05,3.06,62.37,63.9,43.1,5.56,29,67.62,Bachelor,Yes,Medium,Yes,C,Medium
12,71.01,3.56,81.82,75.62,43.35,10.0,26,56.27,High School,Yes,Low,No,B,Low
13,81.63,5.37,57.84,62.59,65.54,8.13,33,68.1,Bachelor,Yes,Medium,No,B,Low
14,49.3,5.53,47.32,64.06,66.07,6.89,13,58.87,Bachelor,Yes,High,Yes,B,Low
15,52.13,1.98,65.98,55.2,55.0,6.84,14,41.93,High School,Yes,Low,Yes,C,Medium
16,69.57,4.15,43.96,81.03,34.76,5.19,9,50.84,Master,Yes,Low,No,C,Medium
17,62.81,3.49,75.96,59.54,76.95,5.86,19,34.77,Bachelor,Yes,Low,Yes,C,Medium
18,82.71,3.38,52.35,75.83,52.04,9.44,14,26.52,Bachelor,No,High,No,B,Low
19,64.38,5.89,36.2,68.45,64.5,5.97,3,54.74,Master,Yes,High,No,B,Low
20,56.82,3.07,0.0,59.09,69.65,9.48,40,49.68,Master,Yes,Low,No,C,Medium
21,99.98,2.46,62.71,98.18,64.5,7.78,7,45.12,Bachelor,No,Low,No,C,Medium
22,74.61,2.03,70.77,70.02,54.01,4.78,34,44.97,High School,Yes,Low,No,C,Medium
23,79.01,3.19,89.08,49.15,76.4,7.99,18,60.97,High School,Yes,Medium,Yes,B,Low
